CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Czech Republic,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Democratic Republic of Congo,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Denmark,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Djibouti,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Dominica,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Dominican Republic,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Ecuador,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Egypt,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
El Salvador,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Eritrea,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Estonia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Eswatini,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Ethiopia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Faeroe Islands,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Fiji,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Finland,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
France,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Gabon,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Gambia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Georgia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Germany,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Ghana,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Greece,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Greenland,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Guam,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Guatemala,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Guinea,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Guyana,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Haiti,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Honduras,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Hong Kong,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Hungary,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Iceland,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
India,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Indonesia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Iran,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Iraq,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Ireland,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Israel,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Italy,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Jamaica,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Japan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Jordan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Kazakhstan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Kenya,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Kosovo,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Kuwait,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Kyrgyz Republic,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Laos,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Latvia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Lebanon,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Lesotho,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Liberia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Libya,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Lithuania,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Luxembourg,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Macao,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Madagascar,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Malawi,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Malaysia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Mali,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Mauritania,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Mauritius,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Mexico,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Moldova,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Monaco,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Mongolia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Morocco,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Mozambique,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Myanmar,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Namibia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Nepal,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Netherlands,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
New Zealand,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Nicaragua,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Niger,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Nigeria,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Norway,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Oman,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Pakistan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Palestine,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Panama,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Papua New Guinea,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Paraguay,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Peru,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Philippines,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Poland,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Portugal,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Puerto Rico,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Qatar,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Romania,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Russia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Rwanda,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
San Marino,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Saudi Arabia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Senegal,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Serbia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Seychelles,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Sierra Leone,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Singapore,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Slovak Republic,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Slovenia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Solomon Islands,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Somalia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
South Africa,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
South Korea,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
South Sudan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Spain,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Sri Lanka,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Sudan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Suriname,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Sweden,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Switzerland,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Syria,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Taiwan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Tajikistan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Tanzania,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Thailand,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Timor-Leste,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Togo,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Trinidad and Tobago,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Tunisia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Turkey,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Uganda,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Ukraine,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United Arab Emirates,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United Kingdom,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United Kingdom,England,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United Kingdom,Northern Ireland,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United Kingdom,Scotland,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United Kingdom,Wales,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Alabama,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Alaska,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Arizona,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Arkansas,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,California,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Colorado,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Connecticut,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Delaware,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Florida,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Georgia,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Hawaii,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Idaho,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Illinois,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Indiana,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Iowa,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Kansas,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Kentucky,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Louisiana,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Maine,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Maryland,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Massachusetts,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Michigan,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Minnesota,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Mississippi,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Missouri,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Montana,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Nebraska,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Nevada,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,New Hampshire,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,New Jersey,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,New Mexico,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,New York,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,North Carolina,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,North Dakota,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Ohio,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Oklahoma,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Oregon,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Pennsylvania,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Rhode Island,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,South Carolina,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,South Dakota,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Tennessee,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Texas,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Utah,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Vermont,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Virginia,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Washington,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Washington DC,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,West Virginia,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Wisconsin,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
United States,Wyoming,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Uruguay,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Uzbekistan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Vanuatu,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Venezuela,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Vietnam,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Yemen,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Zambia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Zimbabwe,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
